date,open_USD,high_USD,low_USD,close_USD,volume
10-04-2019,5150,5422,5135,5308.25,40073
09-04-2019,5238.38,5238.4,5076.68,5150,34067
08-04-2019,5170.27,5305,5039,5236.9,50178
07-04-2019,5042.07,5234,5026,5170.27,37615
06-04-2019,5004.96,5205,4928.59,5043.89,41770
05-04-2019,4898.64,5028.22,4880.62,5004.95,39768
04-04-2019,4932.59,5039.08,4777,4898.66,61054
03-04-2019,4857.19,5275.01,4753.5,4932.6,109890
02-04-2019,4144.54,4897.99,4140.54,4857.29,105383
01-04-2019,4102.44,4158.7,4067,4144.56,25507
31-03-2019,4106.99,4116.12,4082.57,4103.95,13525
30-03-2019,4104.24,4140,4052,4106.97,19509
29-03-2019,4028.22,4123.71,4024.03,4103.25,30084
28-03-2019,4039.58,4039.7,4002,4027.81,20089
27-03-2019,3948.77,4048,3936.15,4038.05,32364
26-03-2019,3935.47,3958.98,3894,3948.55,29349
25-03-2019,3991.35,3999.3,3888.71,3936.12,33192
24-03-2019,4006.01,4006.02,3950,3992.18,17179
23-03-2019,3987.89,4018.83,3978.01,4006.01,17302
22-03-2019,3980.85,4008,3968.25,3986.93,20022
21-03-2019,4043.04,4069.32,3880.01,3980.64,35997
20-03-2019,4017.48,4050,3980.5,4043.04,23432
19-03-2019,3987.83,4031,3970,4015.53,19893
18-03-2019,3981.85,4037,3953.33,3987.81,22454
17-03-2019,4005.98,4012,3950.01,3981.14,18814
16-03-2019,3924.46,4056.98,3921.98,4005.98,28568
15-03-2019,3877.12,3939.22,3872.2,3923.76,21740
14-03-2019,3866,3920,3810.43,3877.12,27048
13-03-2019,3882.69,3893.56,3840,3866,24461
12-03-2019,3871.61,3905.2,3826.06,3882.73,26921
11-03-2019,3915.99,3936.98,3830,3871.61,38066
10-03-2019,3943.43,3943.43,3881.69,3916.82,23187
09-03-2019,3864.88,3971.75,3854.75,3943.04,30979
08-03-2019,3873.63,3932,3800,3864.89,34730
07-03-2019,3861.84,3905.4,3840.4,3873.64,26455
06-03-2019,3857.58,3907,3813.09,3861.84,24775
05-03-2019,3716.1,3877.1,3703.55,3857.73,32962
04-03-2019,3807.32,3830,3670.69,3715.3,34742
03-03-2019,3819.97,3835,3781.32,3807.75,16718
02-03-2019,3822.17,3841.31,3772.25,3819.93,19445
01-03-2019,3814.26,3857,3813.01,3823,23174
28-02-2019,3818.04,3888,3763.87,3813.69,32561
27-02-2019,3809.31,3838.85,3677.17,3818.07,31500
26-02-2019,3828.44,3841.51,3777,3809.23,28838
25-02-2019,3743.56,3872.66,3740,3827.92,38102
24-02-2019,4118,4198,3712.66,3743.56,62224
23-02-2019,3962,4162.02,3933.15,4117.76,33657
22-02-2019,3937.31,3988,3926.65,3962,23943
21-02-2019,3969.74,4016.48,3901.03,3937.31,31103
20-02-2019,3907.35,3986.98,3870.66,3969.74,36205
19-02-2019,3897.35,3994.52,3856,3907.79,50207
18-02-2019,3667.62,3925,3655,3898.6,64042
17-02-2019,3617.22,3700.11,3604.4,3667.58,25690
16-02-2019,3602.49,3648.2,3597.91,3618.41,19565
15-02-2019,3590.57,3653.23,3573.45,3602.47,20777
14-02-2019,3608.34,3626.4,3568.11,3590.56,21753
13-02-2019,3631.51,3670,3591.75,3609.4,25773
12-02-2019,3631.05,3667.6,3582.34,3631.46,29479
11-02-2019,3679.75,3684.9,3615.53,3631.05,24954
10-02-2019,3665.18,3684.99,3609.76,3680.06,23250
